Entity,Code,Year,High Systolic Blood Pressure,High sodium diet,Low whole grains diet,Alcohol use,Low fruits diet,Unsafe water source,Secondhand smoke,Low birth weight,Child wasting,Unsafe sex,Diet low in nuts and seeds,Diet low in vegetables,Smoking,High fasting plasma glucose,High body-mass index,Unsafe sanitation,Drug use,Low bone mineral density,Vitamin a deficiency,Child stunting,Non-exclusive breastfeeding,Iron deficiency,Low physical activity,No access to handwashing facility,High ldl cholesterol,Air Pollution
East Timor,TLS,2019.0,1622.7675,340.50906,155.53328,265.97772,224.3655,185.0395,202.9141,461.94882,280.92987,190.96951,41.657875,168.98302,927.80707,1004.47327,258.66202,141.24002,34.629684,33.7406,2.7330873,51.45675,26.17037,9.26155,58.040405,64.09224,417.75763,2480.9666700000002
Ecuador,ECU,2019.0,12846.549,1986.1215,2294.9084,3964.3901,330.79477,275.79245,723.61896,1768.302,980.26074,2169.133,1111.1194,1220.0594,4804.3813,13286.723,13453.939,96.894844,269.18115,800.45197,0.9109279,64.59609,67.85066,36.711464,1070.3086,426.076,5116.517,9474.2458
Egypt,EGY,2019.0,164709.62,5997.82,33385.63,6206.7847,3989.5024,3321.9211,19666.855,6838.9014,8978.936,542.4415,9641.016,493.12326,74032.45,99353.11,130342.23,2393.1587,1646.6646,3405.2944,27.143713,1091.7391,2215.0396,101.952644,23585.8,1338.3994,88183.24,182295.30634
El Salvador,SLV,2019.0,7398.4634,1089.8143,1081.6134,2305.85,552.8598,220.70692,374.25577,397.77396,378.10223,1095.671,58.361557,516.35364,1704.7036,7158.972,5259.508,132.08081,110.234955,361.4528,0.60837984,11.549101,24.67705,5.5081277,277.80185,250.41916,3057.7874,5093.61926
Equatorial Guinea,GNQ,2019.0,711.39386,51.49237,68.82128,298.56085,34.170746,96.82397,47.278057,403.27432,92.45861,1901.3617,1.4575212,55.646626,191.81038,496.1398,506.02756,34.46211,52.842766,25.38851,0.72855055,11.021805,15.908043,11.803119,50.614723,107.71634,146.95808,966.78546
Eritrea,ERI,2019.0,3956.7856,698.4395,484.75262,1344.7914,555.0336,3620.772,371.93204,2788.4468,3368.5984,1813.0352,151.5194,493.58255,1465.0394,2415.8813,1685.5479,2708.338,80.46877,170.2046,72.35276,448.7214,249.43323,175.34727,65.214455,2387.7578,940.835,10651.2366
Estonia,EST,2019.0,5417.9106,196.57234,789.1853,1194.0725,302.18243,0.87272173,203.78148,7.7174983,2.425448,87.62456,363.77872,188.19048,2195.7437,1369.3174,3026.339,0.35382608,222.51599,54.001007,0.00015905117,0.1403649,0.36968288,0.049205106,335.68036,4.105732,2314.1226,406.484776
Eswatini,SWZ,2019.0,1128.1882,74.29008,107.46102,619.65045,149.95695,396.04358,86.79494,381.0718,293.52652,3069.2646,16.969276,103.76253,361.7174,1202.6288,1279.844,270.4787,116.07505,33.7839,4.7618637,43.185997,70.321526,4.731604,93.46036,237.5299,208.63145,1657.0525499999999
Ethiopia,ETH,2019.0,41733.848,7992.957,6495.433,19602.021,7703.3467,43173.72,1788.308,63957.66,39223.74,25418.074,3192.0981,4871.185,8123.417,25738.084,14960.786,33702.406,1191.2294,2367.846,1343.5022,6318.5303,3634.5376,1454.5398,827.44965,27583.314,8285.406,153803.13799999998
Fiji,FJI,2019.0,1832.8834,273.682,415.5245,107.05071,352.69873,67.50409,343.9291,116.81104,66.30615,97.65452,14.461444,166.427,923.9281,2739.7954,2352.233,28.53488,30.724035,16.65301,0.46279645,2.5763965,5.2393794,2.3377466,266.40063,11.375224,865.49524,1266.0595
